fen,score,move
r1b2rk1/3nppbp/p2p2p1/Qpp5/2nPP3/5P2/PP2N1PP/1KR2B1R w - -,-51,a5e1
8/8/8/3k1K2/4P3/8/8/8 b - -,mate 15,d5d6
8/8/2N5/5k2/1p2p3/p7/K7/8 w - -,0,c6b4
rnbq1rk1/pp1pppbp/5np1/2p3B1/3P4/3BPN2/PPP2PPP/RN1QK2R w KQ -,0,c2c3
Q7/6p1/1n2k3/4N3/8/5p2/8/2b2K2 b - -,-534,b6a8
4r1k1/6b1/p3p3/1p1pP2r/2pP2RN/2P5/PP5R/7K w - -,30,h1g1
8/1p6/p1bR1rk1/2P1Rp1r/5P1p/8/PP4P1/3K1B2 b - -,62,f6d6
r1bqk2r/p2p2pp/2pNpn2/8/1bP2P2/4B3/PP2K1PP/R2Q1B1R b kq -,23,b4d6
r1bq1rk1/pppn1pbp/3p1npB/4p3/3PP2P/5P2/PPPQ2P1/RN2KBNR w KQ -,48,h6g7
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BPN3/5N2/PPP2PPP/R1BQK2R w KQkq -,67,e4f6
r1bqk2r/pp1pppbp/2n2np1/1Bp5/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,26,b5c6
2rqkb1r/pp2pppp/2n2nb1/1BppN3/6P1/1P2P2P/PBPP1P2/RN1QK2R w KQk -,82,h3h4
8/2k5/4R3/2K5/8/8/8/8 b - -,mate 7,c7d7
r1b1k2r/p2n1ppp/1p2p3/q2pP3/N2p1P2/8/P2N2PP/R2QKB1R w KQkq -,109,f1d3
rnbqkb1r/pp2pp1p/6p1/2pp4/3Pn3/1P1BPN2/P1P2PPP/RNBQK2R w KQkq -,14,c1b2
2k1qr2/p1p2p1p/1R6/2n1N3/7P/P1P2QP1/4PP2/1R4K1 b - -,mate 19,e8e5
8/R7/1p3b2/4k3/5p2/8/PP5P/1K6 w - -,575,b1c1
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,88,c1e3
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,28,d2d4
rnbqkb1r/p3pppp/2p2n2/1p6/P1pP4/1P2PN2/5PPP/RNBQKB1R b KQkq -,37,e7e6
k7/8/1K6/1P6/8/8/8/8 b - -,mate 14,a8b8
8/8/5p2/5kpp/3P4/1r4P1/3R1K1P/8 w - -,0,f2g2
8/5b2/2Rr1k2/pB3p2/5P1p/P7/1P3KP1/8 b - -,570,d6c6
5bk1/5p2/5np1/1p2p2p/4P1P1/1P2BP1P/2P1K3/1rN4R b - -,167,f8e7
r2qr2k/5pp1/p2pb2p/nppN4/4PQ2/1BP3RP/PP3PP1/R5K1 b - -,0,a5b3
B3Q3/6pk/5p1p/5P1K/6PP/1q6/8/8 w - -,mate 11,a8c6
8/8/8/2N5/8/K3k3/5p2/8 w - -,mate -13,a3b4
8/2k5/8/3pK3/3P4/8/8/8 w - -,0,e5f6
1Rr2nk1/2P2p1p/3B4/4pbp1/p3B3/6P1/4PP1P/6K1 b - -,592,f5e6
r1b2rk1/pp3p1p/1q2p1p1/2npP1N1/8/8/PPQ2PPP/R3RBK1 w - -,46,c2d2
r1b2rk1/pp1pqppp/2nbpn2/1N6/4P3/2N5/PPP2PPP/R2QKB1R w KQ -,45,d1d6
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq -,21,g1f3
7r/1p4k1/p1bP4/5p1p/5P2/3B4/PP4P1/3KR3 b - -,3,h8d8
r4r1k/ppn1NBpp/4b3/4P3/3p1R2/1P6/P1P3PP/R5K1 w - -,mate 2,e7g6
2kr1b1r/pp1npppp/2Q1bn2/7q/5B2/2NB3P/PPP1N1P1/2KR3R b - -,mate 1,b7c6
rnb1k2r/ppp2ppp/5n2/8/2pbP3/2N1B3/PP3PPP/R3KB1R w KQkq -,41,e3d4
4r1k1/6b1/p3p3/1p1pP2r/2pP2RN/2P5/PP4R1/7K b - -,0,g8h8
8/3k4/4R3/2K5/8/8/8/8 w - -,mate 7,e6e4
q5k1/5pp1/8/1pb1P3/2p4p/2P4r/1P3PQ1/1N3RK1 b - -,mate -12,h3g3
r2q1rk1/1p4bp/1n1pbn2/2p1p1B1/2P2pPN/pPNP3P/P1BQ1P2/2KR2R1 b - -,47,g8h8
1k6/8/1K6/1P6/8/8/8/8 w - -,mate 14,b6a6
rn3rk1/p5pp/2p5/3Ppb2/2q5/1Q6/PPPB2PP/R3K1NR b KQ -,mate -3,c4f1
4k2r/pp3ppp/2q1pn2/3r4/5Q2/2PB3P/P4PP1/2R2RK1 w - -,0,d3e2
r5k1/ppp2p1p/6pB/4n2n/3bPp2/2NB2qP/PPP3P1/R2Q1R1K b - -,207,g3h4
5bk1/5p2/5np1/1p2p2p/4P1P1/1P2BP1P/1rP1K3/2N4R w - -,207,e2d3
8/2k5/8/3K4/3P4/8/8/8 b - -,0,c7d7
8/8/3k4/5K2/4P3/8/8/8 w - -,mate 15,f5f6
8/6k1/5rp1/8/5PPp/4R2P/6K1/8 w - -,259,g2f3
