fen,score,move
2R2nk1/2P2p1p/3B4/4p1p1/p3b3/6P1/4PP1P/6K1 b - -,1169,g8g7
r3r1k1/ppp2p1p/2n3p1/4bb2/8/1NP2N2/PP3PPP/R1B1R1K1 w - -,-19,c1e3
r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2B1P2B/2NP1N2/PPP2PPP/R2QK2R b KQkq -,-27,g7g5
8/3k4/8/2K5/8/4R3/8/8 b - -,mate 6,d7c7
8/8/8/8/4k3/5p2/8/4K3 w - -,0,e1f2
2rr2k1/5ppp/pb2p3/1p2P3/1P2bPnq/P1N3P1/1B2Q2P/R4R1K w - -,-104,c3e4
r1b2rk1/pp3p2/1q2p1pp/2npP1N1/8/4R3/PPQ2PPP/R4BK1 w - -,0,g5f7
6k1/4r1b1/p3p3/1p1pP2r/2pP2RN/2P5/PP4R1/7K w - -,25,h1g1
r1bq1rk1/pp1pppbp/5np1/8/2PQ4/2N3P1/PP2PPBP/R1B2RK1 b - -,48,d7d6
r2q1rk1/1ppb1pbp/n2p2p1/p1nPp3/2P1P1P1/2N1B2P/PP1NBP2/R2QK1R1 b Q -,-27,g8h8
7k/Pq4p1/5pQp/5P1K/6PP/8/8/8 w - -,mate 13,g6e8
Q7/3n2p1/4k3/4N3/8/5p2/8/2b2K2 w - -,mate 39,a8e8
rnbqkb1r/ppp1pppp/3p1n2/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,39,c7c5
8/8/8/8/8/KN2k3/8/5q2 w - -,mate -13,a3b4
rnbqkbnr/pppp1ppp/8/3p4/8/8/PPP1PPPP/RNBQKBNR w KQkq -,-59,d1d5
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP3P/PPP2PP1/R1BQK1NR b KQkq -,6,e8h8
8/8/8/8/6Q1/5K2/8/7k w - -,mate 1,g4g2
r1bq1rk1/1p2bppp/p1n1p3/3n4/2BP4/2N2N2/PP3PPP/R1BQR1K1 w - -,35,c4b3
r1bqkb1r/pp2pp1p/2n3p1/2pp4/3Pn3/1P1BPN2/PBP2PPP/RN1QK2R w KQkq -,28,d4c5
r1nq1rk1/1p4bp/3pbn2/2p1p1B1/2P2pPN/pPNP3P/P1BQ1P2/2KR2R1 w - -,117,g5f6
8/8/8/8/3K1Q2/5kN1/8/8 b - -,0,f3f4
r2qnrk1/bp1b4/p1ppn2p/2P1ppp1/1PN5/P2P2P1/1B1NPPBP/2RQ1RK1 b - -,214,d6c5
1R6/5ppk/6n1/b2pq1Pp/2p3b1/p1P3N1/P1B2PP1/2Q3K1 w - -,88,b8b5
3r4/1p2R1k1/p1bP4/5p1p/5P2/3B4/PP4P1/3K4 b - -,1,g7f6
8/8/2k5/8/2KP4/8/8/8 w - -,0,d4d5
r1b1k2r/p2n1ppp/1p2p3/q2pP3/N2p1P2/3B4/P2N2PP/R2QK2R b KQkq -,107,c8a6
r7/p4kp1/1pn4p/3R4/P4b2/1Q4P1/5P1P/4qBK1 b - -,0,f7e7
r1bqkb1r/ppp2pp1/5n1p/n2Pp3/2B5/3P1N2/PPP2PPP/RNBQK2R b KQkq -,-22,e5e4
8/2k5/8/2K5/8/4R3/8/8 w - -,mate 6,e3e7
8/1p6/p1bR1rk1/2P1Rp1r/5P1p/3B4/PP4P1/3K4 w - -,345,d1d2
8/p5p1/3kp1p1/PPp1np2/2P1p3/2K1P2P/4BPP1/8 b - -,0,g6g5
3rk2r/pp2bpp1/1n2p2p/1p2P2P/5P2/2P3N1/PP1B2P1/R4RK1 w k -,8,a1d1
r1b1k2r/1p2pp2/p1np1npb/6Qp/2B1P2P/1NN5/PPP2PP1/2KR2R1 b kq -,6,h6g5
8/8/3k1K2/8/4P3/8/8/8 b - -,mate 14,d6d7
2r1bN1k/p5p1/1pB5/5R2/2P5/P2Pb1PP/1B5K/R7 b - -,590,e8c6
1k4r1/1Np5/p2p2pp/1q2r3/7P/1PQ5/5PP1/3R1RK1 b - -,-49,b5b7
r2q1rk1/ppp3bp/n2p1N2/3P1b2/1PP5/1QN1B2P/P3BP2/2KR3R b - -,138,d8f6
2k1rb1r/ppp3pp/2n5/3B1b2/5P2/2q1BQ2/PP1N1P1P/2KR3R w - -,mate -1,b2c3
8/K1k5/8/1P6/8/8/8/8 b - -,mate 12,c7d8
r1bqkbnr/ppp1pppp/2n5/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq -,32,g8f6
rnbqkb1r/pppppppp/5n2/8/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -,11,d7d5
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq -,6,g8f6
8/8/8/8/1N2pk2/p7/K7/8 w - -,0,b4c2
r3k1nr/pppb3p/2nb1pp1/1B1N4/3pqP1Q/1P6/PBPPN1PP/R3K2R w KQkq -,-19,b5c6
rnbqkb1r/pp1p1ppp/4pn2/2P5/1PP5/8/P3PPPP/RNBQKBNR b KQkq -,-51,a7a5
8/8/8/8/1K6/1N2k3/8/5q2 b - -,mate -12,e3d3
6k1/4r1b1/p3p3/1p1pP2r/2pP2RN/2P5/PP4R1/6K1 b - -,18,e7f7
8/8/2k5/3P4/2K5/8/8/8 b - -,0,c6d7
rnbqkbnr/pppp1ppp/8/3Q4/8/8/PPP1PPPP/RNB1KBNR b KQkq -,-89,g8f6
r1b1r1k1/ppp2pbp/n4np1/4p1B1/2P1P3/2N2N2/PP2BPPP/2KR3R w - -,7,f3e1
r2qk2r/3n2p1/1pp1pP2/3p2b1/P2P1nBp/1NB4P/1PP2P2/R3QR1K b kq -,25,d7f6
rnbqkb1r/p3pppp/2p2n2/8/p1PP4/4PN2/5PPP/RNBQKB1R b KQkq -,121,c6c5
rnbqkb1r/ppp2ppp/5n2/4p3/2pPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,-22,g1f3
r1bqk2r/pp2bppp/2n1pn2/6B1/2BP4/2N2N2/PP3PPP/R2QK2R b KQkq -,-23,h7h6
r1bqk2r/pppp1ppp/5n2/n1b1p3/2B1P3/2NP3P/PPP2PP1/R1BQK1NR w KQkq -,13,d1f3
1q2r1k1/5pbp/4pnp1/2NbN3/1p3QP1/1P5P/1rR3BK/3R4 w - -,-546,c2b2
2r2k1r/1p2pp2/p2pb1p1/6Pp/3RPP2/2N1n3/PPP1B1P1/2K2R2 w - -,25,f1f2
2k1rb1r/ppp3pp/2n5/3B1b2/5P2/2P1BQ2/P2N1P1P/2KR3R b - -,mate -1,f8a3
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,21,f1b5
r1bqk1nr/pppn1pbp/3p2p1/4p3/3P4/4PN1P/PPP2PPB/RN1QKB1R b KQkq -,0,e5d4
2rqkb1r/pp2ppp1/2n2nbp/1BppN3/6PP/1P2P3/PBPP1P2/RN1QK2R w KQk -,134,e5g6
r2q1r1k/1ppb2bp/n2p4/2nPpp2/p1P1P3/P1N1B2P/1PQNBP2/R3K1R1 w Q -,-7,e1a1
3k4/7R/p2P4/2p1b3/8/2P3rB/P4r2/1K2R3 w - -,565,h7d7
rnbqk1nr/1p3ppp/p2b4/3p4/2pP4/2P2N2/PPB2PPP/RNBQK2R w KQkq -,34,e1h1
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PPP3/5NP1/PPQN1PBP/R1BR2K1 b - -,19,d5c4
8/8/3k4/3P4/2K5/8/8/8 w - -,0,c4d4
rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq -,-61,b8c6
8/p5p1/3kp3/PPp1npp1/2P1p3/2K1P2P/4BPP1/8 w - -,0,f2f3
1k4r1/1qp5/p2p2pp/4r3/7P/1PQ5/5PP1/3R1RK1 w - -,-53,d1d4
r1b2rk1/pp3N2/1q2p1pp/2npP3/8/4R3/PPQ2PPP/R4BK1 b - -,0,g8f7
3r4/1p2R3/p1bP1k2/5p1p/5P2/3B4/PP4P1/3K4 w - -,7,e7e5
r3r1k1/ppp2p1p/2n3p1/4bb2/8/1NP1BN2/PP3PPP/R3R1K1 b - -,-19,e5d6
r7/p3k1p1/1pn4p/3R4/P4b2/1Q4P1/5P1P/4qBK1 w - -,0,g3f4
1kr2r2/ppp4p/3pb1p1/1q2p3/3bPP2/6P1/PPP3BP/1KBRQR2 w - -,-36,f4f5
8/6k1/6p1/8/2r2PPp/4R2P/6K1/8 w - -,11,g2f3
r4r1k/ppn2Bpp/4b1N1/4P3/3p1R2/1P6/P1P3PP/R5K1 b - -,mate 1,h7g6
r1bq1rk1/pp2ppbp/3p1np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 b - -,46,f8e8
rnbqkb1r/pppp1ppp/5n2/3Q4/8/8/PPP1PPPP/RNB1KBNR w KQkq -,-53,d5d1
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,35,b1d2
8/8/8/8/1K6/1N2k3/8/1q6 w - -,mate -12,b4c3
5N2/1p6/5p1k/p3pbp1/P2PP3/6KP/6P1/8 b - -,-402,f5e4
6k1/5rb1/p3p3/1p1pP2r/2pP2RN/2P5/PP4R1/6K1 w - -,29,h4f3
rnbqkb1r/pppp1ppp/4pn2/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -,14,c2c4
r2q1rk1/pb1nbppp/1pp1pn2/8/2PPp3/5NP1/PPQN1PBP/R1BR2K1 w - -,68,d2e4
3r4/pp4pk/7p/8/1B1n4/P4R2/5PPP/2R3K1 w - -,574,f3e3
7r/p1q1kp2/2p1pp2/2p2B2/8/8/PPPP3P/R1BQR1K1 b - -,mate -6,c7h2
8/8/3k4/3P4/3K4/8/8/8 b - -,0,d6d7
8/1pB5/p1p5/5k2/PP4p1/2PK3r/8/8 w - -,-673,d3d4
n7/6p1/4k3/4N3/8/5p2/8/2b2K2 w - -,-624,e5f3
8/5ppk/6n1/1R1p2Pp/2p3b1/p1b1P1N1/P1B3P1/6K1 b - -,90,d5d4
1r2kb1r/pBpn1ppp/4p3/5b2/Q1pq4/6P1/PP1NPP1P/R1B2RK1 w k -,275,d2f3
8/2k5/8/2K5/8/3R4/8/8 b - -,mate 5,c7b7
r1bq1rk1/ppp2pp1/2np1n1p/2b1p3/2B1P2B/2NP1N2/PPP2PPP/R2QK2R w KQ -,15,d1c1
8/8/8/8/4pk2/p7/K1N5/8 b - -,0,f4f3
8/6k1/6p1/8/2r2PPp/4RK1P/8/8 b - -,13,c4c1
2r1r2k/8/7Q/4N1p1/P7/1q5P/5PP1/4R1K1 b - -,mate 13,h8g8
rnbqkbnr/1p3ppp/p7/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,38,f1d3
r4r1k/ppn2Bp1/4b1p1/4P3/3p1R2/1P6/P1P3PP/R5K1 w - -,mate 1,f4h4
8/8/8/8/2K5/1N2k3/8/1q6 b - -,mate -12,b1c2
r1b2r2/pp3k2/1q2p1pp/2npP3/8/4R3/PPQ2PPP/R4BK1 w - -,0,e3f3
r2qnrk1/bp1b4/p1p1n2p/2p1ppp1/1PN5/P2P2P1/1B1NPPBP/2RQ1RK1 w - -,225,c4e5
8/3k4/5K2/8/4P3/8/8/8 w - -,mate 14,e4e5
r1bqk1nr/ppp1bppp/2n1p3/3p4/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,68,f1d3
8/3k4/8/3P4/3K4/8/8/8 w - -,0,d4c5
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2KQ1PP/RNr2R2 b - -,-416,c1f1
r1bq1k1r/ppp1npb1/2n2Bpp/3Np3/2P1P3/5N2/PP3PPP/R2QKB1R w - -,75,f6e7
1k4r1/1qp5/p2p2pp/4r3/3R3P/1PQ5/5PP1/5RK1 b - -,-30,e5b5
8/3b1k2/1p2Np2/p2Pp1P1/4P3/6P1/5K2/8 w - -,-182,e6d8
8/1k6/8/2K5/8/3R4/8/8 w - -,mate 5,d3d7
2rqkb1r/pp2p1p1/2n2npp/1Bpp4/6PP/1P2P3/PBPP1P2/RN1QK2R w KQk -,127,b5d3
r1bqk2r/2p1bppp/p1np1n2/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQK2R w KQkq -,24,e1h1
3r4/6k1/2bPR3/pp3p2/5P1p/P2B4/1P3KP1/8 b - -,346,c6d7
3r4/1p6/p1bP1k2/4Rp1p/5P2/3B4/PP4P1/3K4 b - -,8,c6d7
r1b2rk1/1p2bppp/p1nppn2/q7/2P1P3/N1N1B3/PP2BPPP/R2Q1RK1 b - -,28,f8d8
r1bq1rk1/pp3ppp/2n1pn2/2pp4/3P4/2PBPNP1/PP1N1PP1/R2QK2R b KQ -,30,h7h6
rnbqkbnr/pp3ppp/8/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,19,g8f6
rnbqkbnr/ppp2ppp/8/3p4/2B1Pp2/8/PPPP2PP/RNBQK1NR w KQkq -,-35,c4d5
r2qk2r/6p1/1pp1pn2/3p2b1/P2P1nBp/1NB4P/1PP2P2/R3QR1K w kq -,26,c3d2
q7/6Q1/2p2p1P/3p1kp1/PP2bPB1/7P/5K2/8 b - -,mate 1,f5f4
r1bq1rk1/1p2bppp/p1n1p3/3n4/3P4/1BN2N2/PP3PPP/R1BQR1K1 b - -,25,e7f6
7K/8/1Q6/8/8/8/1pk5/8 w - -,mate 22,b6f2
8/8/8/8/2K5/1N2k3/2q5/8 w - -,mate -10,c4b4
r1bqkbnr/pppp1ppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,8,a7a6
r1b2r2/pp3k2/1q2p1pp/2npP3/8/5R2/PPQ2PPP/R4BK1 b - -,0,f7g7
3rqrk1/p1p2ppp/2P2n2/8/1b4b1/2N5/PPP1BPPP/R1B1QRK1 b - -,-298,b4c3
2r2k1r/1p2pp2/p2pb1p1/6Pp/3RPP2/2N1nR2/PPP1B1P1/2K5 b - -,22,e3g2
8/3k4/5K2/4P3/8/8/8/8 b - -,mate 13,d7e8
8/1P4kp/8/PB6/3P4/7P/6P1/1b4K1 b - -,mate 10,h7h5
6k1/5rb1/p3p3/1p1pP2r/2pP2R1/2P2N2/PP4R1/6K1 b - -,20,f7f3
8/p5p1/P2kp3/1Pp1n1p1/2P1pp2/2K1P1PP/4BP2/8 b - -,0,f4f3
r1bqkb1r/ppp1pppp/2n2n2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R b KQkq -,18,c8g4
8/8/5p2/3P1kpp/8/1r4P1/3R1K1P/8 b - -,0,b3b7
r1b2rk1/3nppbp/p2p2p1/Q1p5/2pPP3/5P2/PP2N1PP/1K3B1R w - -,-86,e2f4
2b2nk1/2P2p1p/3B4/4p1p1/p3p3/6P1/4PPBP/6K1 w - -,129,g2e4
rnbqkbnr/ppp2ppp/8/3B4/4Pp2/8/PPPP2PP/RNBQK1NR b KQkq -,-42,d8h4
6k1/8/6K1/6P1/8/8/8/8 w - -,mate 14,g6h6
r1b2r2/pp4k1/1q2p1pp/2npP3/8/5R2/PPQ2PPP/R4BK1 w - -,0,f3f8
8/8/8/8/1K6/1N2k3/2q5/8 b - -,mate -10,e3e4
r1bqkb1r/ppp2pp1/5n1p/3Pp3/2n5/3P1N2/PPP2PPP/RNBQK2R w KQkq -,0,d3c4
rnbqkb1r/pppp1ppp/5n2/8/8/5Q2/PPP1PPPP/RNB1KBNR b KQkq -,-96,d7d5
8/1P4kp/8/PB6/3Pb3/7P/6P1/6K1 w - -,mate 8,b7b8q
8/1p4pk/7p/p2r4/1B1n4/P3R2P/5PP1/2R3K1 w - -,584,b4c3
r2q1rk1/pb1nbpp1/1pp1pn1p/8/2PPNB2/5NP1/PPQ2PBP/R2R2K1 b - -,82,c6c5
8/p5p1/3kp3/PPp1n1p1/2P1pp2/2K1P1PP/4BP2/8 w - -,408,g3f4
2rr2k1/5ppp/pb2p3/1p2P3/1P2NPnq/P5P1/1B2Q2P/R4R1K b - -,-132,h4h5
rn2k1nr/ppp2ppp/3b4/3P4/5pbq/2N2N2/PPPPK1PP/R1BQ1B1R w kq -,-154,d1e1
1R6/5ppk/4q1n1/b2pB1Pp/2pP2b1/p1P3N1/P1B1rPP1/2Q3K1 b - -,78,e2e5
rnb1kb1r/ppp2ppp/8/4P3/2p1P1n1/2N5/PP3PPP/R1BK1BNR w kq -,-72,c1e3
r1br2k1/1p2bppp/p1nppn2/q7/2P1P3/N1N1B3/PP2BPPP/R2Q1RK1 w - -,29,d1c1
3r4/1p1b4/p2P1k2/4Rp1p/5P2/3B4/PP4P1/3K4 w - -,5,d1e2
4k3/8/5K2/4P3/8/8/8/8 w - -,mate 13,f6e6
rnb1kbnr/ppp2ppp/8/3B4/4Pp1q/8/PPPP2PP/RNBQK1NR w KQkq -,-25,e1f1
2r1r2k/8/8/4N1pQ/P7/1q5P/5PP1/4R1K1 b - -,mate 14,h8g7
8/1p4pk/7p/p1Rr4/1B1n4/P3R2P/5PP1/6K1 b - -,632,d5f5
r1b1k2r/1p2ppb1/p1np1np1/6qp/2B1P3/1NN5/PPPQ1PPP/2KR2R1 w kq -,17,d2g5
2k5/6R1/p2P4/2p1b3/8/2P4r/P4r2/1K2R3 w - -,-426,g7c7
5n2/P4k2/6p1/3N4/8/5p2/8/2b2K2 b - -,601,c1h6
2r2k1r/1p2pp2/p2pb1p1/6Pp/3RPP2/2N2R2/PPP1B1n1/2K5 w - -,41,f4f5
8/4k3/8/3PK3/8/8/8/8 w - -,0,d5d6
1br1rnk1/4q1p1/p1p1pnp1/1pPpNp2/PP1P1P2/4P1P1/1BQ1B2P/2R2RK1 w - -,95,h2h4
rnbqkb1r/ppp1pp2/3p1np1/7p/3PP2P/2N5/PPP2PP1/R1BQKBNR w KQkq -,44,g1f3
8/6p1/6k1/4K1N1/8/8/8/8 w - -,0,g5e6
rnbqkb1r/1p1p1ppp/4pn2/p1P5/1PP5/8/P3PPPP/RNBQKBNR w KQkq -,-46,b4b5
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BPN3/5N2/PPP1QPPP/R1B1K2R b KQkq -,51,f6e4
3rk2r/pp2bpp1/1np1p2p/q3P2P/5P2/2PQ2N1/PP1B2P1/R4RK1 w k -,10,d3e2
r2q1rk1/1ppb1pbp/n2p2p1/p1nPp3/2P1P1P1/2N1BN1P/PP2BP2/R2QK1R1 w Q -,5,g1g3
8/8/8/8/1K2q3/1N2k3/8/8 w - -,mate -12,b4c3
r1bqkb1r/1p1npppp/p4n2/3P4/8/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,53,d2d4
6k1/1p1b3p/2pp2p1/p7/2Pb2Pq/1P1PpK2/P1N3RP/1RQ5 b - -,mate -4,d7g4
rnbqk2r/pp3ppp/4pn2/1Bbp4/8/2N1PN2/PPP2PPP/R1BQK2R b KQkq -,-45,b8d7
rnbqkb1r/ppp2ppp/5n2/3p4/8/5Q2/PPP1PPPP/RNB1KBNR w KQkq -,-109,c1g5
r3r1k1/ppp2p1p/2nb2p1/5b2/8/1NP1BN2/PP3PPP/R3R1K1 w - -,-30,b3d4
2rqk2r/3bbpp1/p2p1n1p/1p1NpP2/4P3/1N1Q2P1/PPP4P/1K1R1B1R b k -,-14,f6d5
2r1Q1k1/5ppp/8/8/8/8/5PPP/4R1K1 b - -,mate 1,c8e8
4k3/8/4K3/4P3/8/8/8/8 b - -,mate 12,e8d8
r1bq1rk1/1p2ppbp/p2p1np1/8/2P5/2NQ2P1/PP2PPBP/R1B2RK1 w - -,38,c1f4
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,21,g1f3
rnb1k2r/1p2ppb1/p2p1np1/q5Bp/2BNP3/2N5/PPPQ1PPP/2KR2R1 b kq -,47,b8c6
8/1r6/5p2/3P1kpp/8/6P1/3R1K1P/8 w - -,0,d5d6
rnbqkb1r/pp2pppp/3p1n2/2p5/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,14,d2d4
r1b2R2/pp4k1/1q2p1pp/2npP3/8/8/PPQ2PPP/R4BK1 b - -,0,g7f8
rn2k1nr/ppp2ppp/3b4/3P4/3P1pbq/2N2N2/PPP1K1PP/R1BQ1B1R b kq -,-163,g8e7
r2qkb1r/ppp1pppp/2n2n2/3p4/3P1Bb1/4PN2/PPP2PPP/RN1QKB1R w KQkq -,27,h2h3
r1b1k2r/1p2ppb1/p1np1np1/6Qp/2B1P3/1NN5/PPP2PPP/2KR2R1 b kq -,13,g7h6
rnbq1rk1/pp1pppbp/5np1/2p3B1/3P4/2PBPN2/PP3PPP/RN1QK2R b KQ -,-52,d8b6
rnb1kbnr/ppp2ppp/8/3B4/4Pp1q/8/PPPP2PP/RNBQ1KNR b kq -,-28,g8e7
r2qk2r/6p1/1pp1Bn2/3p2b1/P2P1n1p/1NB4P/1PP2P2/R3QR1K b kq -,-12,f6e4
r3k2r/pp2bpp1/1np1p2p/q3P2P/5P2/2PQ2N1/PP1B2P1/R4RK1 b kq -,0,a5d5
r1bq1rk1/4bppp/p1n1p3/1p1n4/3P4/1BN2N2/PP3PPP/R1BQR1K1 w - -,27,c3d5
3R4/2r2pk1/5np1/1p2p3/1P2P1P1/1K3P2/2P5/2B5 w - -,488,d8b8
rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq -,0,g2g3
4r1k1/5ppp/8/8/8/8/5PPP/4R1K1 w - -,mate 1,e1e8
r2q1rk1/pbp3pp/1p1b4/3N1p2/2B5/P3PPn1/1P3P1P/2RQK2R w K -,mate 4,d5e7
rnbqkb1r/1p1p1ppp/4pn2/pPP5/2P5/8/P3PPPP/RNBQKBNR b KQkq -,-42,f8c5
r3k2r/pp2bpp1/1np1p2p/q3P2P/5P2/2PQ2N1/PP1B2P1/R3K2R w KQkq -,11,c3c4
r1bq1k1r/ppp1Bpb1/2n3pp/3Np3/2P1P3/5N2/PP3PPP/R2QKB1R b - -,86,c6e7
r1b2k2/pp6/1q2p1pp/2npP3/8/8/PPQ2PPP/R4BK1 w - -,0,c2g6
3r4/1p1b4/p2P1k2/4Rp1p/2B2P2/8/PP4P1/3K4 b - -,2,d7c8
8/1k1R4/8/2K5/8/8/8/8 b - -,mate 4,b7c8
4K3/1k2P3/1p6/pBn5/P7/4r3/5p2/2R5 b - -,-3,e3e1
8/1P4kp/8/PB1P4/4b3/7P/6P1/6K1 b - -,mate 9,e4d5
3k4/8/4K3/4P3/8/8/8/8 w - -,mate 12,e6f7
2r1r3/6k1/8/4N1pQ/P7/1q5P/5PP1/4R1K1 w - -,mate 14,h5g5
5n2/P4k2/6p1/3N2b1/8/5p2/8/5K2 w - -,682,a7a8q
rnb1k1nr/ppp2ppp/3b4/3B4/4Pp1q/8/PPPP2PP/RNBQ1KNR w kq -,-15,g1f3
r1b1k2r/1p2ppb1/p1np1np1/q5Bp/2B1P3/1NN5/PPPQ1PPP/2KR2R1 b kq -,17,a5g5
8/1r6/3P1p2/5kpp/8/6P1/3R1K1P/8 b - -,0,f5e6
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,17,e1h1
r1b1k2r/1p2pp2/p1np1npb/6Qp/2B1P3/1NN5/PPP2PPP/2KR2R1 w kq -,14,g5h6
2k5/3R4/8/2K5/8/8/8/8 w - -,mate 4,c5c6
rnbqkbnr/ppp1pppp/8/3P4/8/8/PPPP1PPP/RNBQKBNR b KQkq -,51,g8f6
r1bqk2r/pppp1ppp/5n2/n1b1p3/2B1P3/2NP1Q1P/PPP2PP1/R1B1K1NR b KQkq -,0,a5c4
r3kb1r/pp3pp1/1np1p2p/q3P2P/8/2PQ2N1/PP1B1PP1/R3K2R w KQkq -,3,d2f4
rnbqkb1r/p3pppp/2p2n2/1P6/3P4/1p2PN2/5PPP/RNBQKB1R b KQkq -,65,e7e6
r2qkb1r/ppp1pppp/2n5/8/2B1P1b1/2P2N2/P2P1PPP/R1BQK2R b KQkq -,39,g4f3
q5k1/5pp1/8/1p2P3/2p4p/2P4r/1P3KQ1/1N3R2 b - -,-7,a8a7
4K3/1k2P3/1p6/pBn5/P7/8/5p2/2R1r3 w - -,-4,e8f8
8/1pB5/p1p5/5k2/P5pr/1PPK4/8/8 w - -,-668,b3b4
r1bq1rk1/1pp2pp1/1pnp1n1p/4p3/2B1P2B/3P1N2/PPP2PPP/R2QK2R w KQ -,11,e1h1
1r2kb1r/pBpn1ppp/4p3/5b2/Q1pq4/5NP1/PP2PP1P/R1B2RK1 b k -,262,d4d6
3k4/5K2/8/4P3/8/8/8/8 b - -,mate 11,d8d7
rnbqkb1r/pp2pppp/3p1n2/2p5/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq -,6,e7e6
Q4n2/5k2/6p1/3N2b1/8/5p2/8/5K2 b - -,835,f3f2
2r1r3/6k1/8/4N1Q1/P7/1q5P/5PP1/4R1K1 b - -,mate 13,g7h8
r1k4r/ppp1b3/2n1q3/6B1/3p2p1/8/PPP1KPPP/R7 w - -,mate -11,e2f1
3rqrk1/p1p2ppp/2P2n2/8/6b1/2b5/PPP1BPPP/R1B1QRK1 w - -,-286,e1c3
3r4/2R2b2/3P1k2/pB3p2/5P1p/P7/1P3KP1/8 b - -,497,d8d6
5rk1/pp1b1ppp/1q2p3/3pP3/1B3Pn1/3B1N2/P2KQ1PP/RN3r2 w - -,-414,e2f1
3N4/3b4/1p3pk1/p2Pp1P1/4P3/6P1/5K2/8 w - -,-65,g5f6
r1bq1rk1/5pp1/2nb1n1p/pp1p4/2pP3B/2P2N1P/PPB2PP1/RN1QR1K1 w - -,61,f3e5
rnbqk2r/ppp2ppp/8/2bNp3/2B1nP2/8/PPPP2PP/R1BQK1NR w KQkq -,-26,d1e2
8/1r6/3Pkp2/6pp/8/6P1/3R1K1P/8 w - -,0,h2h4
r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,0,h2h3
8/1p6/kp6/1p6/8/8/5PPP/5RK1 w - -,mate 1,f1a1
8/8/1p3b2/4k3/5p2/R7/PP5P/1K6 b - -,557,e5e4
r1bqk1nr/pp2ppb1/2np2p1/2p4p/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,22,g8f6
r1bq1rk1/4bppp/p1n5/1p1p4/3P4/1B3N2/PP3PPP/R1BQR1K1 w - -,29,a2a4
r2qk2r/6p1/1pp1B3/3p2b1/P2Pnn1p/1NB4P/1PP2P2/R3QR1K w kq -,-11,e6g4
5N2/1p6/5p1k/p3p1p1/P2Pb3/6KP/6P1/8 w - -,-158,d4e5
8/p5p1/3kp1n1/PPp5/2P1pP2/2K4P/4BP2/8 w - -,481,a5a6
8/8/7k/5p1p/5K1b/8/8/8 w - -,-39,f4f5
2r1r2k/8/8/4N1Q1/P7/1q5P/5PP1/4R1K1 w - -,mate 11,g5h6
6k1/6p1/3N4/4K3/5N2/8/8/8 b - -,mate 18,g8h7
8/8/1p3b2/8/4kp2/R7/PP5P/1K6 w - -,582,b1c2
r4rk1/ppp3bp/n2p1q2/3P1b2/1PP5/1QN1B2P/P3BP2/2KR3R w - -,139,c3b5
r1b2rk1/3nppbp/p2p2p1/Q1p5/2pPP3/5P2/PP4PP/1KN2B1R b - -,-161,g7d4
R4nk1/6p1/8/5p2/P1pN2bb/8/2B3K1/8 b - -,300,g8f7
r1bq1k1r/ppp1npb1/6pp/3Np3/2P1P3/5N2/PP3PPP/R2QKB1R w - -,82,d5b6
rnb1k1nr/ppp2ppp/3b4/3B4/3PPp1q/8/PPP3PP/RNBQ1KNR b kq -,-32,g8e7
